sample	unit	assembly	fq1	fq2
ERR2592251	1	ERR2592251	ERR2592251	ERR2592251
ERR2592252	1	ERR2592252	ERR2592252	ERR2592252
ERR2592255	1	ERR2592255	ERR2592255	ERR2592255
ERR2592277	1	ERR2592277	ERR2592277	ERR2592277
ERR2592278	1	ERR2592278	ERR2592278	ERR2592278
ERR2592279	1	ERR2592279	ERR2592279	ERR2592279
ERR2592282	1	ERR2592282	ERR2592282	ERR2592282
ERR2592283	1	ERR2592283	ERR2592283	ERR2592283
ERR2592330	1	ERR2592330	ERR2592330	ERR2592330
ERR2592334	1	ERR2592334	ERR2592334	ERR2592334
ERR2592335	1	ERR2592335	ERR2592335	ERR2592335
ERR2592337	1	ERR2592337	ERR2592337	ERR2592337
ERR2592343	1	ERR2592343	ERR2592343	ERR2592343
ERR2592246	1	ERR2592246	ERR2592246	ERR2592246
ERR2592253	1	ERR2592253	ERR2592253	ERR2592253
ERR2592254	1	ERR2592254	ERR2592254	ERR2592254
ERR2592256	1	ERR2592256	ERR2592256	ERR2592256
ERR2592257	1	ERR2592257	ERR2592257	ERR2592257
ERR2592258	1	ERR2592258	ERR2592258	ERR2592258
ERR2592263	1	ERR2592263	ERR2592263	ERR2592263
ERR2592266	1	ERR2592266	ERR2592266	ERR2592266
ERR2592270	1	ERR2592270	ERR2592270	ERR2592270
ERR2592272	1	ERR2592272	ERR2592272	ERR2592272
ERR2592273	1	ERR2592273	ERR2592273	ERR2592273
ERR2592275	1	ERR2592275	ERR2592275	ERR2592275
ERR2592276	1	ERR2592276	ERR2592276	ERR2592276
ERR2592333	1	ERR2592333	ERR2592333	ERR2592333
ERR2592336	1	ERR2592336	ERR2592336	ERR2592336
ERR2592338	1	ERR2592338	ERR2592338	ERR2592338
ERR2592339	1	ERR2592339	ERR2592339	ERR2592339
ERR1713331	1	ERR1713331	ERR1713331	ERR1713331
ERR1713332	1	ERR1713332	ERR1713332	ERR1713332
ERR1713334	1	ERR1713334	ERR1713334	ERR1713334
ERR1713335	1	ERR1713335	ERR1713335	ERR1713335
ERR1713336	1	ERR1713336	ERR1713336	ERR1713336
ERR1713338	1	ERR1713338	ERR1713338	ERR1713338
ERR1713339	1	ERR1713339	ERR1713339	ERR1713339
ERR1713341	1	ERR1713341	ERR1713341	ERR1713341
ERR1713343	1	ERR1713343	ERR1713343	ERR1713343
ERR1713345	1	ERR1713345	ERR1713345	ERR1713345
ERR1713347	1	ERR1713347	ERR1713347	ERR1713347
ERR1713348	1	ERR1713348	ERR1713348	ERR1713348
ERR1713353	1	ERR1713353	ERR1713353	ERR1713353
ERR1713354	1	ERR1713354	ERR1713354	ERR1713354
ERR1713356	1	ERR1713356	ERR1713356	ERR1713356
ERR1713357	1	ERR1713357	ERR1713357	ERR1713357
ERR1713360	1	ERR1713360	ERR1713360	ERR1713360
ERR1713362	1	ERR1713362	ERR1713362	ERR1713362
ERR1713364	1	ERR1713364	ERR1713364	ERR1713364
ERR1713365	1	ERR1713365	ERR1713365	ERR1713365
ERR1713369	1	ERR1713369	ERR1713369	ERR1713369
ERR1713373	1	ERR1713373	ERR1713373	ERR1713373
ERR1713375	1	ERR1713375	ERR1713375	ERR1713375
ERR1713377	1	ERR1713377	ERR1713377	ERR1713377
ERR1713378	1	ERR1713378	ERR1713378	ERR1713378
ERR1713379	1	ERR1713379	ERR1713379	ERR1713379
ERR1713380	1	ERR1713380	ERR1713380	ERR1713380
ERR1713383	1	ERR1713383	ERR1713383	ERR1713383
ERR1713387	1	ERR1713387	ERR1713387	ERR1713387
ERR1713388	1	ERR1713388	ERR1713388	ERR1713388
ERR1713390	1	ERR1713390	ERR1713390	ERR1713390
ERR1713393	1	ERR1713393	ERR1713393	ERR1713393
ERR1713395	1	ERR1713395	ERR1713395	ERR1713395
ERR1713398	1	ERR1713398	ERR1713398	ERR1713398
ERR1713399	1	ERR1713399	ERR1713399	ERR1713399
ERR1713401	1	ERR1713401	ERR1713401	ERR1713401
ERR1713402	1	ERR1713402	ERR1713402	ERR1713402
ERR1713403	1	ERR1713403	ERR1713403	ERR1713403
ERR1713404	1	ERR1713404	ERR1713404	ERR1713404
ERR1713409	1	ERR1713409	ERR1713409	ERR1713409
ERR1713410	1	ERR1713410	ERR1713410	ERR1713410
ERR1713411	1	ERR1713411	ERR1713411	ERR1713411
ERR1725938	1	ERR1725938	ERR1725938	ERR1725938
ERR1725939	1	ERR1725939	ERR1725939	ERR1725939
ERR1725940	1	ERR1725940	ERR1725940	ERR1725940
ERR1725945	1	ERR1725945	ERR1725945	ERR1725945
ERR1725946	1	ERR1725946	ERR1725946	ERR1725946
ERR1725947	1	ERR1725947	ERR1725947	ERR1725947
ERR1725948	1	ERR1725948	ERR1725948	ERR1725948
ERR1725949	1	ERR1725949	ERR1725949	ERR1725949
ERR1725952	1	ERR1725952	ERR1725952	ERR1725952
ERR1725953	1	ERR1725953	ERR1725953	ERR1725953
ERR1725954	1	ERR1725954	ERR1725954	ERR1725954
ERR1725959	1	ERR1725959	ERR1725959	ERR1725959
ERR1725960	1	ERR1725960	ERR1725960	ERR1725960
ERR1725961	1	ERR1725961	ERR1725961	ERR1725961
ERR1725962	1	ERR1725962	ERR1725962	ERR1725962
ERR1725963	1	ERR1725963	ERR1725963	ERR1725963
ERR1725964	1	ERR1725964	ERR1725964	ERR1725964
ERR1725965	1	ERR1725965	ERR1725965	ERR1725965
ERR1725966	1	ERR1725966	ERR1725966	ERR1725966
ERR1725967	1	ERR1725967	ERR1725967	ERR1725967
ERR1725968	1	ERR1725968	ERR1725968	ERR1725968
ERR1725969	1	ERR1725969	ERR1725969	ERR1725969
ERR1725970	1	ERR1725970	ERR1725970	ERR1725970
ERR1725971	1	ERR1725971	ERR1725971	ERR1725971
ERR1725972	1	ERR1725972	ERR1725972	ERR1725972
ERR1725973	1	ERR1725973	ERR1725973	ERR1725973
ERR1725974	1	ERR1725974	ERR1725974	ERR1725974
ERR1725975	1	ERR1725975	ERR1725975	ERR1725975
ERR1725976	1	ERR1725976	ERR1725976	ERR1725976
ERR1725977	1	ERR1725977	ERR1725977	ERR1725977
ERR1725978	1	ERR1725978	ERR1725978	ERR1725978
ERR1725981	1	ERR1725981	ERR1725981	ERR1725981
ERR1725982	1	ERR1725982	ERR1725982	ERR1725982
ERR1725985	1	ERR1725985	ERR1725985	ERR1725985
ERR1725986	1	ERR1725986	ERR1725986	ERR1725986
ERR1725987	1	ERR1725987	ERR1725987	ERR1725987
ERR1725990	1	ERR1725990	ERR1725990	ERR1725990
ERR1725991	1	ERR1725991	ERR1725991	ERR1725991
ERR1725994	1	ERR1725994	ERR1725994	ERR1725994
ERR1725995	1	ERR1725995	ERR1725995	ERR1725995
ERR1725996	1	ERR1725996	ERR1725996	ERR1725996
ERR1725997	1	ERR1725997	ERR1725997	ERR1725997
ERR1725998	1	ERR1725998	ERR1725998	ERR1725998
ERR1725999	1	ERR1725999	ERR1725999	ERR1725999
ERR1726000	1	ERR1726000	ERR1726000	ERR1726000
ERR1726001	1	ERR1726001	ERR1726001	ERR1726001
ERR1726002	1	ERR1726002	ERR1726002	ERR1726002
ERR1726004	1	ERR1726004	ERR1726004	ERR1726004
ERR1726007	1	ERR1726007	ERR1726007	ERR1726007
ERR1726008	1	ERR1726008	ERR1726008	ERR1726008
ERR1726009	1	ERR1726009	ERR1726009	ERR1726009
ERR1726010	1	ERR1726010	ERR1726010	ERR1726010
ERR1726011	1	ERR1726011	ERR1726011	ERR1726011
ERR1726012	1	ERR1726012	ERR1726012	ERR1726012
ERR1726013	1	ERR1726013	ERR1726013	ERR1726013
ERR1726014	1	ERR1726014	ERR1726014	ERR1726014
ERR1726015	1	ERR1726015	ERR1726015	ERR1726015
ERR1726016	1	ERR1726016	ERR1726016	ERR1726016
ERR1726017	1	ERR1726017	ERR1726017	ERR1726017
ERR1726018	1	ERR1726018	ERR1726018	ERR1726018
ERR1726019	1	ERR1726019	ERR1726019	ERR1726019
ERR1726020	1	ERR1726020	ERR1726020	ERR1726020
ERR1726021	1	ERR1726021	ERR1726021	ERR1726021
ERR1726022	1	ERR1726022	ERR1726022	ERR1726022
ERR1726023	1	ERR1726023	ERR1726023	ERR1726023
ERR1726024	1	ERR1726024	ERR1726024	ERR1726024
ERR1726025	1	ERR1726025	ERR1726025	ERR1726025
ERR1726026	1	ERR1726026	ERR1726026	ERR1726026
ERR1726027	1	ERR1726027	ERR1726027	ERR1726027
ERR1726028	1	ERR1726028	ERR1726028	ERR1726028
ERR1726029	1	ERR1726029	ERR1726029	ERR1726029
ERR1726030	1	ERR1726030	ERR1726030	ERR1726030
ERR1726031	1	ERR1726031	ERR1726031	ERR1726031
ERR1726032	1	ERR1726032	ERR1726032	ERR1726032
ERR1726033	1	ERR1726033	ERR1726033	ERR1726033
ERR1726034	1	ERR1726034	ERR1726034	ERR1726034
ERR1726035	1	ERR1726035	ERR1726035	ERR1726035
ERR2592247	1	ERR2592247	ERR2592247	ERR2592247
ERR2592249	1	ERR2592249	ERR2592249	ERR2592249
ERR2592259	1	ERR2592259	ERR2592259	ERR2592259
ERR2592260	1	ERR2592260	ERR2592260	ERR2592260
ERR2592261	1	ERR2592261	ERR2592261	ERR2592261
ERR2592262	1	ERR2592262	ERR2592262	ERR2592262
ERR2592264	1	ERR2592264	ERR2592264	ERR2592264
ERR2592265	1	ERR2592265	ERR2592265	ERR2592265
ERR2592267	1	ERR2592267	ERR2592267	ERR2592267
ERR2592268	1	ERR2592268	ERR2592268	ERR2592268
ERR2592269	1	ERR2592269	ERR2592269	ERR2592269
ERR2592271	1	ERR2592271	ERR2592271	ERR2592271
ERR2592274	1	ERR2592274	ERR2592274	ERR2592274
ERR2592280	1	ERR2592280	ERR2592280	ERR2592280
ERR2592281	1	ERR2592281	ERR2592281	ERR2592281
ERR2592328	1	ERR2592328	ERR2592328	ERR2592328
ERR2592329	1	ERR2592329	ERR2592329	ERR2592329
ERR2592331	1	ERR2592331	ERR2592331	ERR2592331
ERR2592332	1	ERR2592332	ERR2592332	ERR2592332
ERR2592340	1	ERR2592340	ERR2592340	ERR2592340
ERR2592341	1	ERR2592341	ERR2592341	ERR2592341
ERR2592342	1	ERR2592342	ERR2592342	ERR2592342
ERR1713400	1	ERR1713400	ERR1713400	ERR1713400
SRR3580070	1	SRR3580070	SRR3580070	SRR3580070
ERR4419501	1	ERR4419501	ERR4419501	ERR4419501
ERR4419502	1	ERR4419502	ERR4419502	ERR4419502
SRR8083223	1	SRR8083223	SRR8083223	SRR8083223
SRR2097329	1	SRR2097329	SRR2097329	SRR2097329
SRR2097333	1	SRR2097333	SRR2097333	SRR2097333
SRR6518401	1	SRR6518401	SRR6518401	SRR6518401
SRR6518402	1	SRR6518402	SRR6518402	SRR6518402
SRR6518403	1	SRR6518403	SRR6518403	SRR6518403
SRR6518404	1	SRR6518404	SRR6518404	SRR6518404
SRR9030452	1	SRR9030452	SRR9030452	SRR9030452
SRR9030453	1	SRR9030453	SRR9030453	SRR9030453
SRR9030454	1	SRR9030454	SRR9030454	SRR9030454
SRR9030455	1	SRR9030455	SRR9030455	SRR9030455
SRR9030456	1	SRR9030456	SRR9030456	SRR9030456
SRR11296557	1	SRR11296557	SRR11296557	SRR11296557
SRR11296558	1	SRR11296558	SRR11296558	SRR11296558
SRR11296559	1	SRR11296559	SRR11296559	SRR11296559
SRR11296560	1	SRR11296560	SRR11296560	SRR11296560
SRR11296561	1	SRR11296561	SRR11296561	SRR11296561
SRR11296562	1	SRR11296562	SRR11296562	SRR11296562
SRR8944124	1	SRR8944124	SRR8944124	SRR8944124
SRR8944125	1	SRR8944125	SRR8944125	SRR8944125
